nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"RSUD Srengat","Dokter Ahli Muda",,2
"RSUD Srengat","Fisioterapis Terampil",,2
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","OPERATOR LAYANAN OPERASIONAL",,2
"Dinas Pekerjaan Umum dan Penataan Ruang","PENGELOLA LAYANAN OPERASIONAL",,2
"RSUD Srengat","Nutrisionis Terampil",,2
"Dinas Perpustakaan Dan Kearsipan","Arsiparis Ahli Muda",,2
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","PENGADMINISTRASI PERKANTORAN",,2
"Badan Kesatuan Bangsa dan Politik","PENELAAH TEKNIS KEBIJAKAN",,2
,"Dokter Ahli Pertama",,2
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","PENGELOLA LAYANAN OPERASIONAL",,2
"RSUD Srengat","Perawat Penyelia",,2
"Dinas Perindustrian dan Perdagangan","Penyuluh Perindustrian dan Perdagangan Ahli Pertama",,2
Inspektorat,"OPERATOR LAYANAN OPERASIONAL",,2
"RSUD Srengat","Tenaga Sanitasi Lingkungan Terampil",,2
"RSUD Ngudi Waluyo Wlingi","Administrator Kesehatan Ahli Muda",,2
"RSUD Ngudi Waluyo Wlingi","Pranata Laboratorium Kesehatan Pelaksana Lanjutan / Mahir",,2
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Statistisi Ahli Muda",,2
"Dinas Ketahanan Pangan dan Pertanian","Analis Pasar Hasil Pertanian Ahli Muda",,2
"Dinas Sosial","Penyuluh Sosial Ahli Pertama",,2
"Dinas Kesehatan","Perawat Muda / Ahli Muda",,2
,"Guru Dewasa Tingkat. I",,2
"Kecamatan Doko","PENGADMINISTRASI PERKANTORAN",,2
"SEKRETARIAT DAERAH","PENATA KEPROTOKOLAN",,2
"Dinas Peternakan dan Perikanan","Analis Kebijakan Ahli Muda",,2
"Dinas Peternakan dan Perikanan","Analis Pasar Hasil Pertanian Ahli Muda",,2
"Dinas Pekerjaan Umum dan Penataan Ruang","Kepala Bidang Sumber Daya Air",,2
"Dinas Peternakan dan Perikanan","Analis Akuakultur Ahli Muda",,2
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","PENGOLAH DATA DAN INFORMASI",,2
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","PENGADMINISTRASI PERKANTORAN",,2
"Pelaksana Badan Penanggulangan Bencana Daerah","Analis Kebencanaan Ahli Muda",,2
"Dinas Peternakan dan Perikanan","Pengawas Mutu Pakan Ahli Muda",,2
"RSUD Ngudi Waluyo Wlingi","Perawat Madya / Ahli Madya",,2
"Dinas Koperasi, Usaha Kecil dan Menengah","Pengembang Kewirausahaan Ahli Muda",,2
,"Guru Dewasa",,2
"Kelurahan Kademangan","PENGADMINISTRASI PERKANTORAN",,2
"Kecamatan Kanigoro",Lurah,,2
"RSUD Srengat","Perawat Ahli Madya",,2
"RSUD Ngudi Waluyo Wlingi","Dokter Gigi Ahli Madya",,2
"RSUD Ngudi Waluyo Wlingi","Perawat Pelaksana Lanjutan / Mahir",,2
"RSUD Ngudi Waluyo Wlingi",STAF,,2
"Dinas Kesehatan","Sanitarian Penyelia",,2
"Dinas Koperasi, Usaha Kecil dan Menengah","Pengawas Koperasi Ahli Muda",,2
"Sekretariat DPRD","OPERATOR LAYANAN OPERASIONAL",,2
"Dinas Pekerjaan Umum dan Penataan Ruang",Sekretaris,,2
,"Perawat Mahir",,2
"Dinas Pendidikan","Guru Dewasa",,2
"Dinas Kesehatan","Penyuluh Kesehatan Masyarakat Ahli Pertama",,2
"Badan Kesatuan Bangsa dan Politik","PENGOLAH DATA DAN INFORMASI",,2
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","PENGOLAH DATA DAN INFORMASI",,2
"Kecamatan Wlingi","PENGOLAH DATA DAN INFORMASI",,2
"Dinas Tenaga Kerja","Pengantar Kerja Ahli Pertama",,2
"Dinas Peternakan dan Perikanan","PENATA KELOLA KELAUTAN DAN PERIKANAN",,2
"Dinas Kesehatan","BIDAN TRAMPIL",,2
"Kecamatan Talun","PENGOLAH DATA DAN INFORMASI",,2
"RSUD Ngudi Waluyo Wlingi","Radiografer Ahli Pertama",,2
"Dinas Tenaga Kerja","Pengantar Kerja Ahli Muda",,2
"RSUD Ngudi Waluyo Wlingi","Fisioterapis Ahli Pertama",,2
"RSUD Ngudi Waluyo Wlingi","Asisten Apoteker Mahir",,2
"RSUD Srengat","PENGOLAH DATA DAN INFORMASI",,2
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Penata Kelola Bangunan Gedung dan Kawasan Permukiman Ahli Muda",,2
"Badan Pendapatan Daerah","PENGADMINISTRASI PERKANTORAN",,2
"Kelurahan Kaweron","PENGADMINISTRASI PERKANTORAN",,2
"Dinas Peternakan dan Perikanan","Pengawas Perikanan Ahli Muda",,2
"RSUD Ngudi Waluyo Wlingi","Tenaga Sanitasi Lingkungan Terampil",,2
